f (Hz)	Rs (Ohm)	Xs (Ohm)	Rs_CSE (Ohm)	Xs_CSE (Ohm)	Rs_ASE_diffuse (Ohm)	Xs_ASE_diffuse (Ohm)	Rs_relaxation (Ohm)	Xs_relaxation (Ohm)	Rs_local (Ohm)	Xs_local (Ohm)	Rs_anomalous_reflection (Ohm)	Xs_anomalous_reflection (Ohm)
35111917.34215128	0.0001648377919247666	-0.0002764107177441809	5.2652880955893036e-05	-5.265288095589303e-05	0.0001559066428403436	-0.0002700382266369696	0.00030616582327592964	-9.054981523711042e-06	5.2265023028573265e-05	-5.3043617170891026e-05	0.2518010891551806	-9.054981523711042e-06
44306214.575838774	0.00019180824313563786	-0.000322328924349866	5.9146246583285745e-05	-5.9146246583285745e-05	0.00018205587036548013	-0.00031533001728918463	0.00030616582327592964	-1.1426090761730424e-05	5.85970109948506e-05	-5.970063021129634e-05	0.2518010891551806	-1.1426090761730424e-05
55908101.82512223	0.0002232327432096075	-0.0003759136937808978	6.644040024744944e-05	-6.644040024744944e-05	0.00021259094116005066	-0.0003682183113180933	0.00030616582327592964	-1.4418091274226612e-05	6.566284826401092e-05	-6.722715967623844e-05	0.2518010891551806	-1.4418091274226612e-05
70548023.10718645	0.00025984993613482334	-0.0004384502854562525	7.463409835863924e-05	-7.463409835863924e-05	0.0002482474647622545	-0.0004299772218183892	0.00030616582327592964	-1.8193567715056985e-05	7.353369193847696e-05	-7.57509719825773e-05	0.2518010891551806	-1.8193567715056985e-05
89021508.54450393	0.0003025208973945999	-0.0005114405027298043	8.383827636590544e-05	-8.383827636590544e-05	0.00028988442980969084	-0.0005020945607535184	0.00030616582327592964	-2.2957678648772403e-05	8.228163501996609e-05	-8.542436695989753e-05	0.2518010891551806	-2.2957678648772403e-05
112332403.29780266	0.0003522492907467144	-0.0005966395007405872	9.417755072527527e-05	-9.417755072527526e-05	0.00033850489762933707	-0.0005863076813049133	0.00030616582327592964	-2.8969304822171224e-05	9.197674188414409e-05	-9.643102026579608e-05	0.2518010891551806	-2.8969304822171224e-05
141747416.29268077	0.0004102047870536943	-0.0006960989675638459	0.00010579190609670909	-0.00010579190609670909	0.00039528016663148744	-0.000684645331830028	0.00030616582327592964	-3.6555116687494504e-05	0.00010268259208453768	-0.00010899537271478985	0.2518010891551806	-3.6555116687494504e-05
178864952.9057435	0.00047775025581153627	-0.0008122178266028061	0.00011883859061298792	-0.00011883859061298794	0.0004615779896434641	-0.0007994765297179807	0.00030616582327592964	-4.612732560339641e-05	0.00011444981284064728	-0.00012339566372681428	0.2518010891551806	-4.612732560339641e-05
225701971.9633917	0.0005564733173244094	-0.0009478018315346206	0.00013349424488080626	-0.00013349424488080623	0.0005389955239568811	-0.0009335676325455259	0.00030616582327592964	-5.8206083310073146e-05	0.00012730699074049576	-0.00013998220610384737	0.2518010891551806	-5.8206083310073146e-05
284803586.8435793	0.0006482229345163293	-0.0011061336972735542	0.00014995729353886356	-0.00014995729353886353	0.0006293978078763151	-0.0010901489814142524	0.00030616582327592964	-7.34477468611299e-05	0.00014124833796373893	-0.00015920321760723137	0.2518010891551806	-7.34477468611299e-05
359381366.3804626	0.0007551518334033444	-0.0012910557424180465	0.0001684506317525463	-0.00016845063175254633	0.0007349626906942606	-0.0012729927219499886	0.00030616582327592964	-9.268054492240771e-05	0.00015621766819991358	-0.00018164152406576286	0.2518010891551806	-9.268054492240771e-05
453487850.8128591	0.0008797656787543309	-0.0015070674224052147	0.0001892246430179671	-0.00018922464301796712	0.0008582332984844104	-0.0014865036777224239	0.00030616582327592964	-0.00011694958353664994	0.00017208883788962228	-0.0002080667518264202	0.2518010891551806	-0.00011694958353664994
572236765.935022	0.001024980109126836	-0.0017594406181776416	0.00021256058913377018	-0.00021256058913377018	0.0010021792996480617	-0.0017358254652842368	0.00030616582327592964	-0.00014757363695742606	0.00018864420025323198	-0.00023950910758053568	0.2518010891551806	-0.00014757363695742606
722080901.8385457	0.0011941869688336974	-0.002054356115197306	0.00023877441823793203	-0.000238774418237932	0.0011702684461401419	-0.0020269644072094073	0.00030616582327592964	-0.00018621680955381386	0.00020555528317277554	-0.0002773619919899676	0.2518010891551806	-0.00018621680955381386
911162756.1154869	0.0013913313730533636	-0.002399065349054967	0.00026822104246701587	-0.0002682210424670158	0.0013665501138490918	-0.0023669342282756603	0.00030616582327592964	-0.00023497896287807388	0.0002223741058546053	-0.00032352025585717626	0.2518010891551806	-0.00023497896287807388
1149756995.3977356	0.0016210015845406758	-0.002802082174759923	0.0003012991431536194	-0.00030129914315361943	0.0015957528546722347	-0.0027639250206153844	0.00030616582327592964	-0.0002965098216834132	0.00023854835876285755	-0.00038055668936859627	0.2518010891551806	-0.0002965098216834132
1450828778.495943	0.001888533968603317	-0.0032734101136569424	0.00033845656862014815	-0.0003384565686201482	0.0018633983103789689	-0.0032275005483143734	0.00030616582327592964	-0.0003741529593878942	0.0002534751545787014	-0.0004519292986822406	0.2518010891551806	-0.0003741529593878942
1830738280.2953696	0.0022001353291109765	-0.003824811328313799	0.000380196397650289	-0.00038019639765028896	0.002175934232520225	-0.0037688286446534197	0.00030616582327592964	-0.0004721274871231347	0.00026659852360054654	-0.000542198429436315	0.2518010891551806	-0.0004721274871231347
2310129700.083158	0.002563024531765078	-0.0044701248083514914	0.00042708375073224013	-0.00042708375073224013	0.0025408898129195266	-0.004400950252410799	0.00030616582327592964	-0.0005957573193109906	0.00027752977225198414	-0.0006572286953556357	0.2518010891551806	-0.0005957573193109906
2915053062.82517	0.0029855946695767277	-0.005225643464896146	0.0004797534412919222	-0.0004797534412919222	0.0029670570667572876	-0.005139093588579903	0.00030616582327592964	-0.0007517604740095333	0.0002861392993621675	-0.0008043752289339439	0.2518010891551806	-0.0007517604740095333
3678379771.8286343	0.003477596846764623	-0.006110563253641519	0.00053891857050713	-0.00053891857050713	0.0034647026378838083	-0.006001041001932668	0.00030616582327592964	-0.0009486141285459061	0.0002925673289702026	-0.0009927055992879795	0.2518010891551806	-0.0009486141285459061
4641588833.612792	0.004050347558110464	-0.007147521440997118	0.0006053801820688235	-0.0006053801820688234	0.004045815128887438	-0.007007557361263867	0.00030616582327592964	-0.0011970152674793293	0.0002971471203575418	-0.001233345840271678	0.2518010891551806	-0.0011970152674793293
5857020818.056673	0.004716963068348262	-0.00836324483819981	0.0006800381076065228	-0.0006800381076065229	0.0047243939142587316	-0.008182890294465324	0.00030616582327592964	-0.001510461954403903	0.0003002890376380044	-0.0015400223445870243	0.2518010891551806	-0.001510461954403903
7390722033.525775	0.005492624944183683	-0.009789332548176573	0.0007639031496153043	-0.0007639031496153043	0.005516786394345879	-0.009555354329511772	0.00030616582327592964	-0.0019059868137739151	0.00030238401604957524	-0.0019298242996300125	0.2518010891551806	-0.0019059868137739151
9326033468.83218	0.006394880447190046	-0.011463202604959378	0.0008581107668304804	-0.0008581107668304804	0.006442081814766522	-0.01115801300969113	0.00030616582327592964	-0.0024050825799936844	0.00030375286611785275	-0.002424188115692373	0.2518010891551806	-0.0024050825799936844
11768119524.34999	0.007443980197872555	-0.013429239310639761	0.0009639364473378843	-0.0009639364473378842	0.007522571138639547	-0.013029475415674953	0.00030616582327592964	-0.003034870007907221	0.00030463495033934945	-0.0030501210497066228	0.2518010891551806	-0.003034870007907221
14849682622.544636	0.00866325488251864	-0.015740187190323107	0.0010828129775581033	-0.0010828129775581033	0.008784284050255185	-0.015214826283158898	0.00030616582327592964	-0.0038295716086883492	0.00030519815306910867	-0.003841713760642417	0.2518010891551806	-0.0038295716086883492
18738174228.603867	0.010079528626525863	-0.01845885102796858	0.0012163498409115162	-0.0012163498409115162	0.010257616026948312	-0.017766712123207278	0.00030616582327592964	-0.0048323712936176174	0.0003055556028753029	-0.004842021948094525	0.2518010891551806	-0.0048323712936176174
23644894126.45407	0.01172357114615145	-0.021660174647828996	0.0013663550088049055	-0.0013663550088049055	0.011978060585740056	-0.020746609510639995	0.00030616582327592964	-0.00609776097838203	0.00030578159399218154	-0.006105423108409815	0.2518010891551806	-0.00609776097838203
29836472402.833344	0.013630570402240423	-0.025433797365757904	0.0015348594189704536	-0.0015348594189704536	0.013987064345041924	-0.024226306094347706	0.00030616582327592964	-0.007694501661862745	0.00030592412216368103	-0.007700580847762896	0.2518010891551806	-0.007694501661862745
37649358067.92456	0.01584063662924647	-0.02988721473877554	0.0017241444725722003	-0.0017241444725722003	0.01633302550040957	-0.028289630008027453	0.00030616582327592964	-0.009709359883784421	0.0003060138720046968	-0.009714181069071423	0.2518010891551806	-0.009709359883784421
